Test_HDD,Test-Mode,Queue-Depth,Blocksize,ReadIOPS,WriteIOPS,IOPS,Read_Bandwidth,Write_Bandwindth,Bandwidth,Latency,CPUusr%,CPUsys%
AN02JPLN,read,1,16m,16,0,16,256MiB,0,256MiB,62.38,0.00%,0.24%
AN02JPLN,read,2,16m,16,0,16,257MiB,0,257MiB,124.70,0.00%,0.18%
AN02JPLN,read,4,16m,15,0,15,256MiB,0,256MiB,249.79,0.00%,0.17%
AN02JPLN,read,8,16m,15,0,15,257MiB,0,257MiB,499.52,0.01%,0.22%
AN02JPLN,read,16,16m,16,0,16,258MiB,0,258MiB,995.77,0.00%,0.23%
AN02JPLN,read,32,16m,16,0,16,260MiB,0,260MiB,1983.08,0.00%,0.23%
AN02JPLN,write,1,16m,0,15,15,0,252MiB,252MiB,60.97,3.92%,0.20%
AN02JPLN,write,2,16m,0,15,15,0,251MiB,251MiB,125.15,4.01%,0.18%
AN02JPLN,write,4,16m,0,15,15,0,251MiB,251MiB,252.34,4.06%,0.15%
AN02JPLN,write,8,16m,0,15,15,0,251MiB,251MiB,508.17,4.03%,0.20%
AN02JPLN,write,16,16m,0,15,15,0,252MiB,252MiB,1016.75,4.03%,0.20%
AN02JPLN,write,32,16m,0,15,15,0,255MiB,255MiB,2025.90,4.01%,0.29%
AN02JPLN,read,1,8m,32,0,32,257MiB,0,257MiB,31170.51,0.00%,0.34%
AN02JPLN,read,2,8m,32,0,32,257MiB,0,257MiB,62.37,0.01%,0.19%
AN02JPLN,read,4,8m,32,0,32,257MiB,0,257MiB,124.75,0.00%,0.18%
AN02JPLN,read,8,8m,32,0,32,257MiB,0,257MiB,249.45,0.00%,0.17%
AN02JPLN,read,16,8m,31,0,31,257MiB,0,257MiB,499.72,0.00%,0.23%
AN02JPLN,read,32,8m,31,0,31,258MiB,0,258MiB,996.22,0.00%,0.23%
AN02JPLN,write,1,8m,0,31,31,0,251MiB,251MiB,30.68,3.88%,0.30%
AN02JPLN,write,2,8m,0,31,31,0,251MiB,251MiB,62.51,3.91%,0.18%
AN02JPLN,write,4,8m,0,31,31,0,251MiB,251MiB,126.30,4.00%,0.17%
AN02JPLN,write,8,8m,0,31,31,0,251MiB,251MiB,254.00,4.05%,0.17%
AN02JPLN,write,16,8m,0,31,31,0,252MiB,252MiB,508.54,4.05%,0.25%
AN02JPLN,write,32,8m,0,31,31,0,252MiB,252MiB,1017.70,4.03%,0.19%
AN02JPLN,read,1,4m,64,0,64,257MiB,0,257MiB,15592.83,0.01%,0.41%
AN02JPLN,read,2,4m,64,0,64,256MiB,0,256MiB,31239.59,0.01%,0.36%
AN02JPLN,read,4,4m,64,0,64,257MiB,0,257MiB,62.37,0.00%,0.16%
AN02JPLN,read,8,4m,64,0,64,256MiB,0,256MiB,124.85,0.01%,0.19%
AN02JPLN,read,16,4m,63,0,63,256MiB,0,256MiB,249.82,0.01%,0.19%
AN02JPLN,read,32,4m,63,0,63,257MiB,0,257MiB,499.90,0.01%,0.23%
AN02JPLN,write,1,4m,0,63,63,0,253MiB,253MiB,15.21,3.91%,0.39%
AN02JPLN,write,2,4m,0,62,62,0,251MiB,251MiB,31.25,3.90%,0.34%
AN02JPLN,write,4,4m,0,62,62,0,251MiB,251MiB,63.16,4.02%,0.20%
AN02JPLN,write,8,4m,0,62,62,0,251MiB,251MiB,126.67,3.95%,0.19%
AN02JPLN,write,16,4m,0,62,62,0,251MiB,251MiB,254.55,4.05%,0.18%
AN02JPLN,write,32,4m,0,62,62,0,251MiB,251MiB,509.68,4.09%,0.20%
AN02JPLN,read,1,2m,128,0,128,256MiB,0,256MiB,7797.68,0.02%,0.54%
AN02JPLN,read,2,2m,128,0,128,256MiB,0,256MiB,15605.39,0.02%,0.45%
AN02JPLN,read,4,2m,128,0,128,257MiB,0,257MiB,31176.45,0.01%,0.38%
AN02JPLN,read,8,2m,128,0,128,256MiB,0,256MiB,62.41,0.02%,0.24%
AN02JPLN,read,16,2m,128,0,128,256MiB,0,256MiB,124.90,0.01%,0.20%
AN02JPLN,read,32,2m,127,0,127,256MiB,0,256MiB,249.89,0.01%,0.21%
AN02JPLN,write,1,2m,0,127,127,0,254MiB,254MiB,7549.90,3.93%,0.47%
AN02JPLN,write,2,2m,0,126,126,0,252MiB,252MiB,15.54,3.91%,0.43%
AN02JPLN,write,4,2m,0,125,125,0,251MiB,251MiB,31.55,3.91%,0.37%
AN02JPLN,write,8,2m,0,125,125,0,251MiB,251MiB,63.44,3.88%,0.20%
AN02JPLN,write,16,2m,0,125,125,0,251MiB,251MiB,127.48,3.95%,0.20%
AN02JPLN,write,32,2m,0,125,125,0,251MiB,251MiB,255.04,4.07%,0.23%
AN02JPLN,read,1,1m,256,0,256,256MiB,0,256MiB,3901.41,0.04%,0.53%
AN02JPLN,read,2,1m,256,0,256,257MiB,0,257MiB,7796.13,0.04%,0.52%
